Menu Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g)
Cheesy Roll Up - Specialties,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,1.0,0.0,8.0
Soft Taco Supreme - Specialties,210.0,10.0,5.0,0.0,25.0,510.0,20.0,3.0,2.0,0.0,9.0
Black Bean Chalupa Supreme® - Specialties,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,4.0,0.0,10.0
Veggie Power Menu Bowl - Specialties,420.0,20.0,6.0,0.0,20.0,870.0,47.0,10.0,3.0,0.0,13.0
Mexican Pizza - Veggie - Specialties,470.0,25.0,6.0,0.0,20.0,690.0,46.0,8.0,3.0,0.0,14.0
Quesadilla - Specialties,520.0,26.0,13.0,0.0,75.0,1260.0,41.0,3.0,3.0,2.0,26.0
Mexican Pizza - Specialties,540.0,29.0,8.0,0.0,40.0,940.0,49.0,10.0,3.0,0.0,19.0
Black Bean Quesarito - Specialties,630.0,30.0,11.0,0.0,35.0,1310.0,71.0,7.0,5.0,2.0,19.0
Nachos BellGrande® - Specialties,730.0,38.0,6.0,0.0,25.0,1130.0,81.0,15.0,4.0,0.0,17.0
Hot Sauce Packet (V),0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
Diablo Sauce Packet (V),0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Cinnabon® Delights™ (2 Pk) (V),160.0,9.0,2.0,0.0,5.0,80.0,17.0,0.0,10.0,6.0,2.0
Cinnamon Twists (V),170.0,6.0,0.5,0.0,0.0,115.0,27.0,0.0,10.0,10.0,1.0
Cinnabon® Delights™ (12 Pk - Serves 4) (V),930.0,53.0,13.0,2.0,40.0,480.0,104.0,3.0,59.0,35.0,9.0
Premium Roast Coffee - Iced,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Iced Coffee with Creamer,45.0,1.0,0.5,0.0,0.0,15.0,8.0,0.0,7.0,7.0,0.0
Lowfat Milk - Federal (Regional),80.0,2.0,1.5,0.0,10.0,100.0,10.0,0.0,9.0,0.0,7.0
Orange Juice,140.0,0.0,0.0,0.0,0.0,20.0,33.0,0.0,28.0,28.0,2.0
Wild Strawberry Freeze™ (16 oz),150.0,0.0,0.0,0.0,0.0,40.0,41.0,0.0,41.0,41.0,0.0
Mango Freeze® (16 oz),160.0,0.0,0.0,0.0,0.0,35.0,41.0,0.0,41.0,41.0,0.0
Cinnabon® Delights™ Coffee - Hot,160.0,2.0,1.5,0.0,5.0,75.0,34.0,0.0,22.0,22.0,1.0
Wild Strawberry Freeze™ (20 oz),190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,51.0,51.0,0.0
Mango Freeze® (20 oz),190.0,0.0,0.0,0.0,0.0,40.0,51.0,0.0,51.0,51.0,0.0
Cheesy Roll Up - Value Menu,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,1.0,0.0,8.0
Chips and Nacho Cheese Sauce - Value Menu,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0
Cheesy Bean &amp; Rice Burrito - Value Menu,420.0,16.0,4.0,0.0,0.0,920.0,55.0,7.0,3.0,2.0,9.0
Chipotle Ranch Grilled Chicken Burrito - Value Menu,510.0,29.0,7.0,0.0,45.0,950.0,47.0,4.0,3.0,2.0,17.0
Beefy Melt Burrito - Value Menu,620.0,29.0,11.0,0.0,45.0,1190.0,70.0,6.0,4.0,2.0,20.0
Cinnabon® Delights™ (2 Pack),160.0,9.0,2.0,0.0,5.0,80.0,17.0,0.0,10.0,6.0,2.0
Hash Brown,160.0,11.0,1.0,0.0,0.0,280.0,14.0,1.0,0.0,0.0,1.0
Cheesy Roll Up,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,1.0,0.0,8.0
Spicy Potato Soft Taco,240.0,12.0,3.0,0.0,10.0,480.0,28.0,2.0,1.0,0.0,5.0
Black Bean Chalupa Supreme®,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,4.0,0.0,10.0
Cheesy Bean &amp; Rice Burrito,420.0,16.0,4.0,0.0,0.0,920.0,55.0,7.0,3.0,2.0,9.0
Cheese Quesadilla,470.0,24.0,13.0,0.0,50.0,1000.0,41.0,3.0,3.0,2.0,18.0
Black Bean Quesarito,630.0,30.0,11.0,0.0,35.0,1310.0,71.0,7.0,5.0,2.0,19.0
Power Menu Bowl - Veggie (V),420.0,20.0,6.0,0.0,20.0,870.0,47.0,10.0,3.0,0.0,13.0
Power Menu Bowl - Steak,480.0,23.0,7.0,0.0,60.0,1280.0,42.0,7.0,4.0,2.0,25.0
Premium Roast Coffee - Hot,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Vanilla Creamer,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0
Hot Coffee with Creamer,45.0,1.0,0.5,0.0,0.0,10.0,8.0,0.0,7.0,7.0,0.0
Cinnabon® Delights™ (2 Pack) (V),160.0,9.0,2.0,0.0,5.0,80.0,17.0,0.0,10.0,6.0,2.0
Hash Brown (V),160.0,11.0,1.0,0.0,0.0,280.0,14.0,1.0,0.0,0.0,1.0
Cheesy Toasted Breakfast Burrito - Fiesta Potato (V),340.0,14.0,3.5,0.0,95.0,770.0,44.0,3.0,3.0,1.0,9.0
Cheesy Toasted Breakfast Burrito - Bacon,350.0,16.0,5.0,0.0,105.0,880.0,38.0,2.0,3.0,2.0,13.0
Breakfast Quesadilla - Sausage,510.0,29.0,15.0,0.0,150.0,1130.0,40.0,3.0,3.0,2.0,23.0
Grande Toasted Breakfast Burrito - Steak,570.0,28.0,10.0,0.0,230.0,1370.0,52.0,4.0,4.0,2.0,27.0
Hash Brown Toasted Breakfast Burrito - Steak,570.0,30.0,10.0,0.0,135.0,1350.0,53.0,3.0,3.0,2.0,24.0
Hash Brown Toasted Breakfast Burrito - Sausage,570.0,33.0,11.0,0.0,125.0,1170.0,52.0,3.0,3.0,2.0,18.0
Breakfast Crunchwrap - Steak,660.0,38.0,12.0,0.0,140.0,1360.0,53.0,4.0,3.0,2.0,24.0
Breakfast Crunchwrap - Sausage,730.0,47.0,15.0,0.0,140.0,1290.0,52.0,4.0,3.0,2.0,20.0
Mad Tasty Grapefruit Sparkling Water,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mad Tasty Yuzu Citrus Sparkling Water,5.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
Rum (80 proof),70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vodka (80 proof),70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wine (6.3 fl oz),160.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0
Stubborn Soda - Classic Root Beer (20 oz),250.0,0.0,0.0,0.0,0.0,115.0,65.0,0.0,65.0,65.0,0.0
Heineken 0.0 (12 oz),70.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,1.0
Corona Premier (12 oz),90.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Michelob Ultra Bottle (16 oz),100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Yuengling - Premium Light (12 oz),100.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0
Heineken Light (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
Heineken 0.0 (16 oz),100.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6.0,0.0,2.0
Hard Mtn Dew - Baja Blast (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Hard Mtn Dew - Original (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
White Claw Hard Seltzer (12 oz),100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Bell Tower Cerveza (12 oz),110.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0
Bud Light (12 oz),110.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Boulevard Cherry Blossom and Lime (16 oz),120.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Modelo Chelada Limon y Sal (12 oz),130.0,0.0,0.0,0.0,0.0,390.0,14.0,0.0,0.0,0.0,0.0
Miller Lite (16 oz),130.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0
Yuengling - Premium Light (16 oz),130.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0
Newcastle Brown Ale (12 oz),130.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
Corona Light (16 oz),130.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
Kona Big Wave Golden Ale (12 oz),130.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1.0
Boulevard Unfiltered Wheat Beer 100 (16 oz),130.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Coors Light (16 oz),140.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,1.0,0.0,0.0
Sol Cervesa (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Miller Genuine Draft (12 oz),140.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0
Yuengling - Premium (12 oz),140.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0
Stella Artois (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Heineken (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0
Pabst Blue Ribbon Original (12 oz),140.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,4.0,0.0,1.0
Pacifico (12 oz),140.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
Modelo Chelada Especial (12 oz),150.0,0.0,0.0,0.0,0.0,440.0,18.0,0.0,0.0,0.0,2.0
Blue Point Toasted Lager (12 oz),150.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,2.0
Corona Extra (12 oz),150.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,1.0
Landshark Lager (12 oz),150.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
Boulevard Unfiltered Wheat Beer (12 oz),150.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Beer - General (12 oz),150.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,2.0
Michelob Original Lager (12 oz),160.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0
Fat Tire Amber Ale (12 oz),160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuengling - Porter (12 oz),160.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
Blue Moon Belgian White (12 oz),170.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,2.0
Sweetwater 420 Extra Pale Ale (12 oz),170.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0
Brooklyn Lager (12 oz),170.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0
Patriot Ale (12 oz),170.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Newcastle Brown Ale (16 oz),170.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
Dos Equis Mexican Pale Ale (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0
Boulevard Space Camper Cosmic IPA (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Kona Big Wave Golden Ale (16 oz),180.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,2.0
Harpoon IPA (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0
Copperhead Red (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0
Yuengling - Golden Pilsner (16 oz),180.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Breaking Bud (12 oz),180.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0
Budweiser Bottle (16 oz),180.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,2.0
Goose Island IPA (12 oz),190.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0
Miller Genuine Draft (16 oz),190.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0
Yuengling - Premium (16 oz),190.0,0.0,0.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0
Stella Artois (16 oz),190.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Pabst Blue Ribbon Original (16 oz),190.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,5.0,0.0,2.0
Estrella Jalisco (12 oz),190.0,0.0,0.0,0.0,0.0,70.0,14.0,0.0,1.0,0.0,1.0
Sea Hag IPA (12 oz),190.0,0.0,0.0,0.0,0.0,10.0,15.0,1.0,0.0,0.0,3.0
Samuel Adams® Winter Lager (12 oz),190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modelo Chelada Especial (16 oz),190.0,0.0,0.0,0.0,0.0,590.0,24.0,0.0,0.0,0.0,2.0
Captain Lawrence Hop Commander (12 oz),200.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0
Coors (Coors Banquet) (16 oz),200.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,1.0
Anchor Steam (16 oz),200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard Mtn Dew - Baja Blast (24 oz),200.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Hard Mtn Dew - Original (24 oz),200.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Landshark Lager (16 oz),200.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0
St. Archer (16 oz),200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuengling - Black and Tan (16 oz),200.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
Barrio Blonde (16 oz),210.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
Michelob Original Lager (16 oz),210.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0
Fat Tire Amber Ale (16 oz),210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Point Big City Bells Pilsner (16 oz),210.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0
Yuengling - Porter (16 oz),220.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0
Motorworks Intellectual Property IPA (12 oz),220.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,11.0,0.0,4.0
Revolution Anti Hero (12 oz),220.0,0.0,0.0,0.0,0.0,10.0,20.0,1.0,1.0,0.0,3.0
Motorworks Pulp Fiction IPA (12 oz),220.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,11.0,0.0,4.0
Shock Top Belgian White (16 oz),220.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0
Sweetwater 420 Extra Pale Ale (16 oz),220.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0
Voodoo Ranger Juicy Haze IPA (12 oz),230.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Blue Moon Mango Wheat (16 oz),230.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0
Kansas City Helles (16 oz),230.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0
Kansas City Dunkel (16 oz),230.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0
Harpoon IPA (16 oz),240.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0
Copperhead Red (16 oz),240.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,3.0
Tampa Bay Reef Donkey (16 oz),240.0,0.0,0.0,0.0,0.0,15.0,14.0,1.0,0.0,0.0,2.0
Four Peaks Kilt Lifter (16 oz),240.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,0.0,0.0,3.0
Angel Island IPA (16 oz),250.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0
Lagunitas IPA (16 oz),250.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,3.0,0.0,4.0
Samuel Adams® Winter Lager (16 oz),260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angry Orchard - Crisp Apple (16 oz),260.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,27.0,27.0,0.0
Bell's Two Hearted Ale (16 oz),280.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
Modelo Chelada (16 oz),290.0,0.0,0.0,0.0,0.0,880.0,35.0,0.0,0.0,0.0,3.0
Motorworks Intellectual Property IPA (16 oz),290.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,15.0,0.0,5.0
Road 2 Ruin Double IPA (16 oz),290.0,0.0,0.0,0.0,0.0,15.0,19.0,1.0,0.0,0.0,4.0
Fair Winds® Howling Gail (16 oz),300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modelo Chelada (20 oz),360.0,0.0,0.0,0.0,0.0,1100.0,44.0,0.0,0.0,0.0,4.0
Tequila (80 proof) - Single - LV,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whiskey (80 proof) - Single - LV,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mtn Dew® Baja Blast Freeze™ (20 oz),190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,51.0,51.0,0.0
Rum (80 proof) - Double - LV,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vodka (80 proof) - Double - LV,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mtn Dew® Baja Blast Freeze™ (32 oz),310.0,0.0,0.0,0.0,0.0,85.0,82.0,0.0,82.0,82.0,0.0
Diet Pepsi® (16 fl oz),0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
Pepsi® Zero Sugar (16 fl oz),0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
Diet Mtn Dew® (16 fl oz),5.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,1.0,0.0,0.0
G2 - Fruit Punch (16 fl oz),45.0,0.0,0.0,0.0,0.0,220.0,10.0,0.0,9.0,9.0,0.0
Dole Strawberry Lemonade Squeeze (16 fl oz),70.0,0.0,0.0,0.0,0.0,135.0,17.0,0.0,17.0,17.0,0.0
7-Up (16 fl oz),190.0,0.0,0.0,0.0,0.0,70.0,46.0,0.0,46.0,46.0,0.0
Mug® Root Beer (16 fl oz),190.0,0.0,0.0,0.0,0.0,75.0,51.0,0.0,51.0,51.0,0.0
Sierra Mist® (16 fl oz),200.0,0.0,0.0,0.0,0.0,45.0,54.0,0.0,54.0,54.0,0.0
Mtn Dew® Baja Blast™ (16 fl oz),220.0,0.0,0.0,0.0,0.0,65.0,59.0,0.0,59.0,59.0,0.0
Diet Pepsi® (20 fl oz),0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0
Pepsi® Zero Sugar (20 fl oz),0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0
Mtn Dew® Baja Blast Zero Sugar (20 fl oz),10.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
G2 - Fruit Punch (20 fl oz),50.0,0.0,0.0,0.0,0.0,270.0,13.0,0.0,12.0,12.0,0.0
Dole Strawberry Lemonade Squeeze (20 fl oz),90.0,0.0,0.0,0.0,0.0,170.0,22.0,0.0,21.0,21.0,0.0
7-Up (20 fl oz),240.0,0.0,0.0,0.0,0.0,85.0,58.0,0.0,58.0,58.0,0.0
Mug® Root Beer (20 fl oz),240.0,0.0,0.0,0.0,0.0,95.0,64.0,0.0,63.0,63.0,0.0
Sierra Mist® (20 fl oz),260.0,0.0,0.0,0.0,0.0,55.0,68.0,0.0,68.0,68.0,0.0
Mtn Dew® Baja Blast™ (20 fl oz),280.0,0.0,0.0,0.0,0.0,80.0,74.0,0.0,74.0,74.0,0.0
Diet Pepsi® (30 fl oz),0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0
Pepsi® Zero Sugar (30 fl oz),0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0
Diet Mtn Dew® (30 fl oz),10.0,0.0,0.0,0.0,0.0,140.0,1.0,0.0,1.0,0.0,0.0
G2 - Fruit Punch (30 fl oz),80.0,0.0,0.0,0.0,0.0,410.0,19.0,0.0,17.0,17.0,0.0
Dole Strawberry Lemonade Squeeze (30 fl oz),130.0,0.0,0.0,0.0,0.0,250.0,33.0,0.0,32.0,32.0,0.0
7-Up (30 fl oz),350.0,0.0,0.0,0.0,0.0,125.0,87.0,0.0,87.0,87.0,0.0
Mug® Root Beer (30 fl oz),360.0,0.0,0.0,0.0,0.0,140.0,96.0,0.0,95.0,95.0,0.0
Sierra Mist® (30 fl oz),380.0,0.0,0.0,0.0,0.0,80.0,101.0,0.0,101.0,101.0,0.0
Mtn Dew® Baja Blast™ (30 fl oz),420.0,0.0,0.0,0.0,0.0,120.0,111.0,0.0,111.0,111.0,0.0
